index,brand,id,name,num_reviews,rating,total_stars,bayesian_est
/ferulic-retinol-eye-cream-P388622,Dr. Dennis Gross Skincare,P388622,Ferulic + Retinol Eye Cream,27,3.1852,86.0004,3.13514594595
/dark-circles-away-collagen-eye-serum-P289000,Dr. Brandt Skincare,P289000,dark circles away™ collagen eye serum,180,3.1167,561.006,3.11055789474
/purely-bright-eye-correcting-cream-P386506,Jurlique,P386506,Purely Bright Eye Correcting Cream,6,3.1667,19.0002,3.0625125
/dr-weil-for-origins-mega-mushroom-skin-relief-eye-serum-P402730,Origins,P402730,Dr. Weil For Origins™ Mega-Mushroom Skin Relief Eye Serum,0,0,0.0,3.0
/total-replenishing-eye-cream-P402134,NARS,P402134,Total Replenishing Eye Cream,0,0,0.0,3.0
/pep-start-eye-cream-P403817,CLINIQUE,P403817,Pep-Start Eye Cream,26,4,104.0,3.0
/artist-secret-radiant-eye-P394623,Embryolisse,P394623,Artist Secret Radiant Eye,5,3,15.0,3.0
/power-advanced-wrinkle-fighter-360-eye-serum-P404169,Algenist,P404169,POWER Advanced Wrinkle Fighter 360° Eye Serum,1,5,5.0,3.0
/defining-eye-lift-P398838,Clarins,P398838,Defining Eye Lift,0,0,0.0,3.0
/extra-firming-eye-wrinkle-smoothing-cream-P393254,Clarins,P393254,Extra-Firming Eye Wrinkle Smoothing Cream,1,4,4.0,3.0
/xtend-your-youth-eye-cream-P383056,Dr. Brandt Skincare,P383056,Xtend Your Youth Eye Cream,10,2.7,27.0,2.85
/no-reason-to-hide-dark-circle-transforming-eye-cream-P397930,philosophy,P397930,No Reason to Hide Dark Circle Transforming Eye Cream,3,2.3333,6.9999,2.84614615385
/bio-performance-glow-revival-eye-treatment-P403318,Shiseido,P403318,Bio Performance Glow Revival Eye Treatment,2,1.5,3.0,2.75
/visionnaire-eye-cream-P382549,Lancôme,P382549,Visionnaire Eye Cream,13,2.5385,33.0005,2.73915217391
/start-over-active-eye-gel-cream-P398122,Sunday Riley,P398122,Start Over Active Eye Gel Cream,7,1,7.0,2.0
/nourishing-eye-renewal-cream-P398819,Tria,P398819,Nourishing Eye Renewal Cream,1,1,1.0,2.0
